jugador,frecuencia
becanbu01,1
keefeti01,3
radboch01,1
clarkjo01,3
mccorji01,2
carutbo01,4
foutzda01,4
ryanji01,1
willine01,1
hudsona01,1
baldwla01,1
conwape01,1
getzich01,1
kingsi01,2
craneed01,2
georgbi01,1
hatfigi01,1
titcoca01,1
welchmi01,2
chambel01,1
devliji02,1
hughemi01,1
lovetto01,2
terryad01,2
odayha01,1
dailyed01,1
ehretre01,1
meakige01,1
stratsc01,1
nichoki01,1
staleha01,1
stiveja01,1
cuppyni01,1
youngcy01,2
dinnebi01,1
hugheto01,1
kennebr01,1
leevesa01,1
phillde01,2
thompgu01,1
veilbu01,1
amesre01,3
mathech01,4
mcginjo01,1
bendech01,5
coaklan01,1
planked01,4
altroni01,1
owenfr01,1
walshed01,1
whitedo01,1
brownmo01,4
overaor01,4
pfiesja01,4
reulbed01,4
donovbi01,3
killied01,2
mullige01,3
sieveed01,1
summeed01,2
wintege01,1
willeed01,1
worksra01,1
adamsba01,2
camniho01,1
leifile01,1
maddoni01,1
willivi01,1
coleki01,1
mcintha01,1
richile01,1
coombja01,3
cranddo01,3
marquru01,5
wiltsho01,1
bediehu01,1
collira01,1
hallch02,1
obriebu01,1
woodjo02,1
tesreje01,3
demaral01,1
bushjo01,5
jamesbi02,1
rudoldi01,1
tylerle01,2
pennohe01,5
shawkbo01,5
wyckowe01,1
fosteru01,2
leonadu01,2
shoreer01,2
alexape01,3
chalmge01,1
mayerer01,2
rixeyep01,1
maysca01,4
ruthba01,2
chenela01,1
dellwh01,1
pfeffje01,2
ruckena01,1
smithsh01,2
cicoted01,2
danfoda01,1
faberre01,1
russere01,1
willile01,2
anderfr01,1
bentoru01,1
perripo01,1
sallesl01,2
schupfe01,1
jonessa01,4
douglph01,2
hendrcl01,1
vaughhi01,1
jamesbi01,1
kerrdi01,1
lowdegr01,1
wilkiro01,1
ellerho01,1
fishera01,1
luquedo01,2
ringji01,1
ruethdu01,2
cadorle01,1
grimebu01,4
mamaual01,1
mitchcl01,2
bagbyji01,1
caldwra02,1
covelst01,2
mailsdu01,1
uhlege01,1
barneje01,2
nehfar01,5
toneyfr01,1
colliri01,1
harpeha01,1
hoytwa01,7
piercbi01,1
quinnja01,3
rogerto01,1
mcquihu01,3
ryanro01,3
scottja01,2
